id_employee,avg_performance_percent,avg_complexity
19175,1.0889,15.91
19399,1.205,14.14
19559,1.1237,14.95
19663,1.0141,22.64
19738,1.0293,22.66
19741,1.2304,14.33
19746,1.4083,15.9
19825,1.0669,20.34
19893,1.0713,19.22
19910,1.037,18.6
19912,1.0117,18.46
19931,1.055,18.04
19940,1.0281,19.5
19945,1.1081,14.81
20145,1.0789,23.42
20192,1.0046,20.3
20518,1.0032,19.14
20529,1.1209,14.68
20531,1.0379,17.81
20570,1.0359,16.91
20816,1.0189,18.26
21075,1.0688,16.83
21077,1.0459,17.7
21463,1.0282,17.22
21472,1.0881,18.37
21531,0.9744,18.02
21536,1.0516,17.61
21557,1.035,17.65
21581,1.1511,14.76
21583,1.0549,18.39
21687,1.0272,17.43
21796,1.1174,17.66
21810,1.0422,18.38
21822,1.0049,21.12
21824,1.0414,22.95
21828,0.9979,19.76
21844,1.0636,18.26
21865,1.0263,26.55
21911,1.0523,24.79
21916,1.0156,18.68
21974,1.0811,19.04
21980,1.0541,18.4
22001,1.0623,18.35
22004,1.048,16.73
22008,1.0762,18.36
22010,1.0613,18.26
22039,1.0504,18.32
22110,1.0688,19.05
22243,1.0436,25.08
22255,1.0109,21.85
22280,1.0067,21.69
22387,1.0,19.08
22566,1.018,23.2
22582,1.0255,23.92
22672,1.031,17.92
23001,1.0212,19.02
23022,1.0076,19.56
23043,1.0501,16.24
23060,1.041,17.52
23077,1.0402,17.38
23095,1.0182,19.19
23116,1.0527,16.69
23166,1.2965,14.64
23173,1.0397,18.35
23176,1.0659,14.51
23177,1.037,16.56
23185,1.0002,18.92
23195,1.0199,18.9
23292,1.0219,18.74
23350,1.3058,14.29
23386,1.0009,18.41
23454,1.0051,19.27
23455,1.0111,19.69
23700,1.0608,19.72
23748,1.0005,20.04
23750,0.9998,18.82
23759,1.0222,16.31
23770,0.8928,14.2
23771,1.0009,18.78
23784,1.3261,15.14
23788,1.0238,15.78
23836,1.046,14.62
23843,1.0283,14.62
23868,1.0595,17.7
23869,1.0631,15.51
23883,1.0296,21.36
23895,1.035,25.59
23896,1.0002,19.12
23897,1.0045,19.4
23900,1.0755,18.02
23901,1.0256,16.32
23916,1.0335,19.48
23922,1.0222,15.87
23929,1.087,17.92
23934,1.0536,17.89
23935,1.0242,16.27
23936,1.0436,18.73
23992,1.0002,18.84
24001,1.0057,17.56
24130,1.032,15.62
24144,0.9966,14.04
24220,1.0,18.76
24228,0.9928,19.88
24349,0.9997,18.95
24370,1.0365,14.79
24392,1.0089,16.12
24414,1.0283,17.93
24461,1.0109,15.66
24474,0.9919,14.84
24480,1.0326,14.87
24485,1.0297,16.0
24520,1.0093,17.01
24526,1.0096,16.86
24530,1.0136,15.47
24534,1.0259,17.47
24535,1.0208,16.98
24551,1.0005,17.53
24557,1.0032,18.33
24558,1.0089,17.45
24561,1.0037,17.72
24563,1.0261,16.98
24568,1.0405,15.33
24582,1.0062,17.33
24596,1.0027,17.41
24599,1.0033,19.4
24600,1.0,20.0
24606,0.9615,16.03
24616,1.0219,19.71
24618,1.0702,13.61
24619,1.0755,13.89
24620,1.0066,17.07
24621,1.1216,15.25
24622,1.1038,14.58
24623,1.005,18.95
24624,1.1257,14.09
24627,1.0187,24.91
24630,1.0639,14.02
24631,1.0731,13.56
24632,1.0886,13.74
24633,1.0707,14.24
24634,1.0721,14.97
24636,1.0734,15.22
24637,1.0122,18.07
24644,1.0872,14.07
24645,1.0764,14.59
24646,1.1168,14.01
24647,1.1238,14.19
24648,1.0768,15.11
24649,1.0652,16.16
24656,1.117,13.52
24657,1.0786,13.47
24661,0.9823,16.7
24662,0.9655,16.1
24663,0.9631,15.54
24664,1.0262,15.91
24666,0.9869,17.1
24667,0.9995,21.93
24668,0.9918,16.84
24669,1.0032,22.66
24675,1.0869,14.49
24679,1.1172,13.8
24680,1.0836,15.25
24681,1.0805,15.36
24683,1.0813,14.08
24684,1.0831,13.83
24695,1.0172,16.83
24700,0.992,19.68
24701,1.0023,18.63
24706,0.9925,21.55
24712,1.0004,18.51
24714,0.9999,18.24
24727,0.9874,16.67
24728,1.0548,14.65
24729,0.994,16.06
24731,0.999,16.04
24737,0.9519,19.0
24742,0.9884,17.65
24744,1.0082,18.05
24750,1.1118,14.42
24751,1.0953,15.22
24755,1.0915,14.86
24756,1.1253,14.44
24764,1.1172,14.53
24765,1.1136,14.52
24776,1.0685,15.37
24780,1.1028,14.5
24782,1.1011,15.03
24783,1.1134,16.19
24784,1.094,14.07
24785,1.1085,15.56
24791,1.0725,14.47
24792,1.0764,14.9
24852,1.2961,15.45
24853,1.3552,14.34
24854,1.0789,15.37
24855,1.0725,16.12
24856,1.1007,15.12
24857,1.093,15.62
24858,1.3197,15.8
24859,1.2255,15.45
24861,1.1852,15.07
24864,1.2655,16.4
24866,1.2344,15.1
24867,1.2965,14.9
24868,1.298,14.62
24871,1.3037,16.52
24877,1.3614,16.28
24878,1.3416,15.61
24882,1.1224,15.14
24883,1.3115,15.64
24886,1.338,14.38
24898,1.4614,15.36
